Total protein by cell line	HCC1806	MCF10A	HCC38	BT549	HS578T	MDAMB231	SKBR3	MCF7	HCC70	BT20
BCAR2	1.0499	0.51379	-0.74068	-0.94789	0.095977	1.9653	-1.4997	-0.16339	-0.10707	-0.16634
TRERF1	0.99736	0.36134	-0.53481	-0.84087	-0.099755	2.0721	-1.3694	0.25298	-0.040811	-0.79811
HVCN1	1.406	0.36647	0.21543	-0.64176	0.019208	1.8528	-1.2934	-0.40134	-0.80067	-0.72272
TAF8	1.154	0.40842	0.13392	-1.1153	-0.86796	2.1187	-0.21446	-0.30913	-0.63969	-0.66846
THBD	1.5833	0.97828	0.060709	-1.0143	-0.65942	1.4618	-0.8541	-0.10963	-0.455	-0.99165
AHNAK	-6.713e-06	1.4884	-0.61569	-1.6155	0.90399	1.2312	0.41293	-0.23137	-0.77698	-0.79698
RHBDF2	-0.28978	1.4624	0.1022	-1.5898	0.77741	1.4468	0.10545	-0.83082	-0.32738	-0.85649
PHRF1	-0.33307	1.9104	0.4272	-1.8995	0.15402	0.72949	-0.20465	-0.68788	-0.48012	0.38416
THEM4	0.37702	2.4469	-0.287	-1.4322	-0.19388	0.31236	0.0055614	-0.16422	-0.46747	-0.597
THRAP3	0.39663	2.0942	0.16107	-1.4989	-0.20187	1.0207	-0.59517	-0.27745	-0.73169	-0.36748
FPR1	-0.11	2.2268	-0.3199	-0.33087	-0.51842	1.4491	-0.63205	-0.63205	-0.50051	-0.63205
SLC30A1	0.18878	2.2029	-0.77325	-0.47183	-0.4887	1.366	-0.82528	-0.29786	-0.52401	-0.37673
TXNIP	0.3888	1.6864	-0.96162	-0.93788	-0.080856	1.5932	-0.40107	0.31466	-0.56296	-1.0387
TEFM	0.45789	1.7483	-0.69525	-1.1854	-0.39441	1.5257	0.35105	-0.91764	-0.46055	-0.42965
PNPLA4	0.08315	2.4171	-0.74957	-0.56409	-0.6119	0.62489	0.12746	0.18051	-1.1541	-0.35347
PSEN2	0.041161	2.2673	-0.31232	-0.4896	-1.1784	0.80528	0.15962	0.2981	-1.0228	-0.56836
CD55	0.29881	1.696	-0.17633	-1.2821	0.018236	1.3457	-1.3264	0.02197	0.25459	-0.85045
ITPR1	0.52502	1.7145	0.17068	-1.4202	-0.57498	1.2393	-1.1532	-0.34258	0.37481	-0.5334
GNA15	0.52592	1.6994	-0.02813	-0.86293	-0.8045	1.3739	-0.78335	-0.86778	0.63422	-0.88673
SAA1	-0.67152	1.6359	0.20977	-0.47032	-1.1574	1.5814	-0.52173	-0.47077	0.72737	-0.86275
STX18	-0.2271	1.8909	0.014813	-0.47988	-0.86606	1.1589	-0.65237	0.40066	0.30063	-1.5404
ADAM17	0.4409	1.6974	-1.1243	-0.59331	-0.64297	1.5386	-0.49336	-0.68972	-0.69904	0.56583
CCND3	0.66686	1.6762	-1.2605	-1	-1.1945	0.94398	0.024777	-0.22026	-0.41984	0.78321
LAMA5	0.98835	1.8621	-0.94534	-0.9345	-0.90801	0.69867	-0.38441	-0.59486	-0.58052	0.79857
CPSF3	1.1914	1.1248	-1.7587	-0.42266	-0.84905	1.0854	-0.0040046	-0.69828	-0.38314	0.71427
CALD1	-0.041764	1.547	-0.77064	-0.97349	-1.263	1.2025	-0.0095139	-1.0279	0.47838	0.85833
NADK2	0.0093216	1.0099	-1.5719	-0.83331	-0.81658	0.86589	0.40808	-1.0897	1.0687	0.94971
AGK	0.8972	1.8024	-1.3364	-0.14448	-0.91971	-0.19599	0.72889	-0.71993	-0.83044	0.71848
EI24	1.9343	0.80927	-0.91762	-0.18317	-0.50539	0.054869	0.23058	-1.6378	-0.48871	0.70364
MCM3AP	1.7448	1.375	-0.86944	-0.45482	-0.40662	0.36645	0.25707	-1.2549	-1.0401	0.28252
TEAD1	1.8344	1.2944	-0.96687	-1.1217	-0.47059	0.32124	0.62005	-0.77197	-0.67626	-0.062741
CASP8AP2	1.4149	1.3051	-0.023328	0.026743	-1.2427	0.77277	0.10677	-1.6383	-0.67426	-0.047669
CTDSPL	0.85139	1.59	-0.37113	-0.052863	-0.89988	1.1739	-0.034529	-1.8216	-0.2656	-0.16963
LARS2	1.1497	1.5845	-0.91949	0.41508	-1.2885	0.78888	0.30311	-0.82293	-1.0327	-0.17766
TMEM11	1.055	1.409	-1.1872	0.7075	-1.0792	0.79803	-0.43817	-0.9982	-0.82844	0.56171
ABCB10	1.2784	2.0518	-0.29368	-0.51894	-0.81382	-0.0058943	0.57403	-0.78901	-0.53399	-0.94896
TOMM20	1.1373	1.7639	-0.3877	0.12704	-1.2497	0.077791	0.83467	-0.88466	-0.2761	-1.1426
FASTKD1	1.1362	1.7044	-0.38657	0.60933	-1.5102	-0.28362	0.71117	-0.92358	-0.57716	-0.47993
ACSL3	0.89674	1.8349	0.46308	0.38189	-0.56147	-0.24667	0.24259	-1.6287	-0.22996	-1.1525
GK	0.87285	1.7471	-0.28964	0.77853	-0.32846	-0.0027522	0.39639	-1.8173	-0.61485	-0.74189
PPHLN1	0.72779	2.0447	0.16131	0.16567	-0.98318	-0.33822	0.55633	-1.4752	-0.81694	-0.042336
RBMXL1	0.82608	1.8789	0.1555	0.1117	-1.1439	0.51687	0.39917	-1.4885	-0.55138	-0.70442
ACIN1	1.1158	2.0875	-0.1878	0.51667	-0.73005	0.25882	-0.58915	-0.71293	-1.0947	-0.66419
APOA1	1.2515	2.0649	-0.077449	0.55252	-0.81004	-0.25391	-0.67648	-0.50636	-0.43278	-1.112
HNRNPA1	1.4247	1.726	0.35601	-0.22767	-0.13265	0.017075	0.13329	-1.0171	-0.87154	-1.4082
KIF23	1.3298	1.8218	0.3998	0.4841	-0.43679	-0.45103	-0.12455	-1.1987	-0.9748	-0.84961
FAT2	0.91626	2.3034	0.016731	-0.1107	0.17705	-0.33212	-0.68957	-0.7904	-0.25083	-1.2399
RETSAT	0.63417	2.4324	-0.42201	0.030591	-0.099056	0.14796	-0.045398	-1.095	-0.70305	-0.8806
NUDT19	0.97158	1.5689	0.065694	0.074397	-0.29244	0.82861	-0.12014	-0.37125	-0.67481	-2.0506
TMEM147	0.94506	1.9013	-0.15364	0.43411	-0.052671	0.11024	-0.021596	-0.71611	-0.60749	-1.8392
PROCR	0.52401	1.8038	0.66619	0.011289	0.32863	0.4332	-0.26194	-0.65234	-1.1361	-1.7167
TTC17	0.51396	1.5694	0.28224	0.26469	-0.019574	0.93624	0.31751	-1.1277	-1.1146	-1.6221
ABCC1	0.49982	2.0535	0.70253	0.40144	-0.5523	0.071077	-0.61358	-0.54735	-0.35114	-1.664
DESI2	0.94906	1.9543	0.5513	0.53577	-0.63669	-0.29996	-0.87462	-0.47605	-0.23835	-1.4647
C19orf12	0.48366	1.7357	0.56201	0.96435	-0.71709	-0.077819	-1.1529	-0.48439	0.22673	-1.5402
NFIL3	0.20537	2.2407	-0.44199	0.68248	-0.72368	0.30723	-0.26081	-0.19567	-0.23328	-1.5803
PANK3	-0.21555	1.799	0.0382	1.3738	-0.61631	0.055757	-0.13243	-0.22118	-0.26197	-1.8194
LDLR	0.6939	1.667	-0.10673	0.4082	-0.78459	1.1899	-1.131	-0.48569	-0.031804	-1.4192
LRRC8A	0.80189	1.7938	-0.10658	0.60441	-0.79841	0.61819	-1.5524	-0.31383	0.062281	-1.1094
LRP8	0.48573	1.6791	-0.51714	0.30311	-0.68546	1.2275	-0.48858	-0.6701	0.34064	-1.6748
RELL1	0.28623	1.1917	-0.11575	0.79003	-0.1122	1.2265	-1.1749	-0.45114	0.27841	-1.9188
DNAJC3	-0.072196	1.8776	0.17367	0.47939	-0.71261	-0.14499	0.08775	-0.40991	0.71851	-1.9972
NAGPA	0.39492	1.6052	0.43111	0.2008	-1.0119	0.02672	0.025472	-0.40205	0.7874	-2.0577
NENF	0.94914	1.0981	0.27436	0.0017678	-0.77272	-0.14237	-0.27627	-0.37122	1.3074	-2.0682
AFF4	0.10259	2.3927	0.068582	-0.12582	0.014922	0.32438	-1.3431	-0.16082	-1.1356	-0.13786
NEK2	0.063741	2.1284	-0.12936	0.23849	-0.1963	0.58743	-0.88388	-0.48889	-1.6888	0.36922
IGFBP6	0.19386	2.2814	0.80966	-0.76021	0.3222	0.17836	-1.0028	-0.56244	-0.75054	-0.70943
NPC2	0.29048	2.1756	0.26831	-0.27661	0.23358	0.72116	-1.2378	-1.1434	-0.72542	-0.30576
ALB	0.41786	2.0933	-0.38016	1.2902	-0.50052	-0.88083	-0.59108	0.11687	-0.68493	-0.88073
THOC7	0.88243	1.6588	0.38569	1.1601	-1.2549	-0.59087	-0.81767	0.1986	-0.69337	-0.92877
EXOG	-0.16507	2.1707	0.56242	0.88967	-0.62496	-0.53497	-1.2317	0.16044	-0.31247	-0.91413
ITIH1	0.24567	2.2339	0.49136	0.96559	-0.64186	-0.43169	-0.76226	-0.41405	-0.80731	-0.8793
PHF20L1	0.39871	1.7347	0.27861	1.1055	-0.15579	-0.22682	-1.2025	0.41597	-0.97417	-1.3742
RARS2	0.85244	1.6094	0.017528	1.2686	-0.32108	-0.99552	-1.4114	0.16514	-0.95167	-0.23346
C6orf203	0.75822	1.871	0.030714	0.81737	-0.80519	0.14246	-1.0876	0.23724	-1.4395	-0.52475
COA3	0.52459	2.0477	0.025732	0.33531	-0.72719	0.89527	-0.85976	-0.24135	-1.3811	-0.61922
GRPEL1	0.22608	2.0623	0.42755	0.57114	-0.9332	0.70539	-0.59877	-0.31938	-0.88938	-1.2517
FSTL3	0.93333	1.9651	0.23462	0.050802	-0.011086	0.055394	-1.0941	0.28487	-1.1712	-1.2477
INTS5	0.90577	2.0316	0.27707	0.070789	-0.34025	-0.22489	-1.3499	0.35848	-0.44051	-1.2882
GLUD1	1.2547	2.177	0.0003851	-0.36928	-0.56491	0.17827	-0.86376	-0.12557	-0.75785	-0.92899
AHNAK2	0.49741	1.6153	0.03784	0.77561	-0.07061	0.61049	-1.3739	-1.4141	0.38396	-1.062
ME3	-0.3292	1.423	0.19659	0.81948	-0.3488	1.0244	-1.2263	-1.494	0.75714	-0.82237
TLR3	0.036994	1.738	0.0054798	0.20709	-0.32436	0.55386	-1.1191	-1.8228	0.94777	-0.22294
KIF14	0.53275	1.6631	-0.011817	0.98545	-0.37124	0.3615	-0.75959	-2.0017	-0.045118	-0.35334
MPZL1	0.58891	1.3734	-0.00059885	1.0263	-0.97601	0.22396	-0.60741	-1.8371	0.79183	-0.58322
TMBIM1	0.8927	1.1595	-0.31919	0.97921	-0.70128	0.32327	0.013015	-2.2279	0.28005	-0.39944
ME2	-0.34189	1.6459	-0.21653	1.1462	-0.60796	0.38064	-0.19406	-1.8235	0.68965	-0.67846
AIDA	-0.014743	1.6841	0.96217	0.31025	0.21801	-0.0087476	-0.6294	-2.1493	-0.11877	-0.25356
ATP1B3	-0.041606	1.6848	1.0164	0.31728	0.11445	-0.73394	-0.61687	-1.6082	0.79949	-0.93175
GNPAT	0.26501	1.9876	0.90859	0.19371	-0.3666	-0.25698	-0.63241	-1.6115	0.3887	-0.87618
ATAD3B	0.59895	1.7887	1.2691	0.44729	-0.20865	-0.61055	-0.68583	-1.4396	-0.57757	-0.58185
BSG	0.51134	1.6696	1.1588	0.20618	-0.53812	0.24422	-0.39292	-1.8399	-0.22905	-0.79013
LBR	0.63236	1.6724	1.0697	-0.27637	-0.92984	0.38609	-0.47016	-1.7392	0.19071	-0.53566
SLC39A10	0.78505	1.482	0.96453	0.90118	-0.81418	0.076469	-0.76525	-1.5056	-0.18003	-0.94417
C10orf54	0.93274	0.91436	0.6221	-0.14033	-1.1228	1.091	-1.2467	-1.6447	0.31623	0.27806
TMEM33	0.76201	1.2196	0.53714	0.35624	-1.5021	0.80249	-1.5654	-1.0353	0.17259	0.25275
ITGA6	1.3064	1.4637	0.37483	0.25678	-1.1379	0.75762	-1.2657	-1.1305	-0.30347	-0.32177
NUPL2	0.82278	1.5578	0.30536	0.82794	-1.318	0.28687	-0.90626	-1.5738	-0.0035648	0.00091261
GLE1	0.45934	1.6909	0.34773	0.1945	-1.4106	1.1338	-0.49364	-1.2677	0.13701	-0.79132
CDCP1	0.66297	0.59172	0.23629	1.4128	-1.1944	1.2082	-1.1743	-1.3089	-0.0099909	-0.42428
HLA-C	0.50914	0.48276	0.13242	1.6017	-0.9838	1.0118	-1.2597	-1.2214	0.50289	-0.77577
SLC43A3	-0.43583	0.77592	0.21343	1.1028	-0.89145	1.5769	-1.0783	-1.059	0.72228	-0.92677
DTX2	-0.11636	1.2114	0.0047624	0.94429	-0.90368	1.558	-1.7526	-0.30369	-0.2399	-0.40221
LTBR	0.38142	1.012	0.19867	1.0174	-1.2729	0.96266	-1.9981	-0.27566	0.25165	-0.27717
PHF3	0.52809	1.0016	0.2582	0.54839	-1.0259	1.7791	-1.3323	-0.74671	-0.12461	-0.88585
AATF	2.2517	0.69472	0.35875	-0.97884	-0.65351	-0.1461	0.54019	-0.33459	-0.92907	-0.80322
NOL11	2.0784	0.76142	0.34978	-1.0401	-0.94783	0.044769	0.60748	-0.095096	-1.0678	-0.69112
WDR43	2.1695	0.84952	0.64787	-0.9871	-0.63842	-0.031984	0.10585	-0.32174	-1.0482	-0.74531
CEBPZ	2.3815	0.72737	0.34346	-0.76608	-0.83264	-0.23829	0.2002	-0.23552	-0.81022	-0.76978
HEATR1	2.2796	0.88083	0.42303	-0.35429	-0.91221	-0.29396	0.14072	-0.33894	-0.96136	-0.86345
WDR75	2.3803	0.80401	0.15646	-0.46627	-0.9146	-0.19386	0.24977	-0.35383	-0.79215	-0.86985
RRP8	2.0244	1.1393	-0.055447	-0.51508	-0.54512	0.080809	0.5536	-0.52347	-1.3254	-0.83348
UTP15	2.0638	1.2178	0.30023	-0.60625	-0.70447	-0.011528	0.069268	-0.24055	-1.218	-0.87028
NOL10	2.2456	0.72752	-0.16919	-0.93842	-0.98636	0.04395	0.7146	-0.26675	-0.79138	-0.57954
IMP3	1.8546	1.2743	0.059664	-0.9735	-0.47421	-0.49773	0.62235	0.17376	-0.93077	-1.1085
MPHOSPH10	1.937	1.0438	0.20737	-0.93925	-0.35348	-0.34065	0.53073	0.1643	-0.84855	-1.4013
NIFK	1.9279	1.0879	0.27534	-0.99392	-0.57274	-0.24872	0.55735	0.091948	-1.2481	-0.87705
RRP7A	1.9244	0.91705	0.36016	-1.251	-0.41332	-0.56175	0.79416	0.040635	-0.94847	-0.86186
KDM5A	2.1767	0.59655	0.4357	-1.1829	-0.62332	-0.55705	0.81573	-0.44508	-0.52265	-0.6937
PPAN	1.9228	0.87643	0.49094	-1.0812	-0.589	-0.45916	0.80103	-0.16208	-0.52622	-1.2736
MRPL10	1.9897	0.74839	0.14291	-1.3564	-0.98527	0.080843	0.44748	0.45526	-0.56584	-0.9571
CIRH1A	2.2633	0.91434	0.65103	-0.85394	-0.37705	-0.20477	-0.24647	-0.73249	-0.93852	-0.47547
NFS1	1.8562	1.4318	0.62249	-0.92113	-0.74547	-0.30998	-0.17366	-0.5671	-1.1225	-0.070683
GLTSCR1	2.0942	1.3778	0.031072	-0.87601	-0.77044	-0.37534	0.14872	-0.27704	-0.99178	-0.36124
NGDN	2.0611	1.1219	0.1784	-1.1916	-0.34152	-0.15277	0.21878	-0.26462	-1.2922	-0.33742
hCG_1988162	2.0825	1.0262	0.32913	-1.3314	-0.23356	-0.34709	0.24223	-0.49976	-1.104	-0.16425
CPSF1	2.3905	1.1574	-0.081812	-0.73186	-0.4728	-0.5378	-0.42282	-0.48996	-0.673	-0.13787
LRP4	2.0992	0.93755	0.70238	-1.2281	-0.26824	-0.09241	-0.25976	-0.1588	-0.72397	-1.0078
BMS1	1.7795	1.1987	0.74521	-0.52019	-0.61632	-0.42455	0.38682	-0.24742	-1.4254	-0.87635
RBM27	1.5445	1.2383	0.79507	-0.46558	-0.66708	-0.19401	0.64261	-0.40117	-1.0609	-1.4318
UTP20	1.5846	1.2742	0.68341	-0.71075	-0.6484	-0.11028	0.74046	-0.52378	-1.2373	-1.0522
UTP6	1.6324	1.63	0.73397	-0.56451	-0.30543	-0.26054	-0.19724	-0.49126	-1.156	-1.0214
ZCCHC9	1.5519	1.5677	0.75404	-0.3962	-0.56704	-0.12071	0.095219	-0.64583	-1.3836	-0.85546
NOL6	1.686	1.4756	0.66961	-0.67051	-0.72315	-0.47822	0.25903	-0.13866	-0.83809	-1.2416
PDCD11	1.9847	1.1616	0.51407	-0.33088	-0.67097	-0.4824	0.08839	-0.045714	-0.80675	-1.4121
UTP11L	2.0096	1.4091	0.26425	-0.64182	-0.65462	-0.37493	0.20503	-0.41328	-0.69395	-1.1094
DHX37	1.9674	1.2558	0.65768	-0.57957	-0.43522	-0.81711	0.044345	-0.15654	-1.0791	-0.85777
HIST1H3A	2.1774	1.2035	0.40254	-0.6778	-0.23046	-0.85113	-0.048859	-0.50533	-0.92721	-0.54256
HNRNPM	1.8102	1.4835	0.20087	-0.56728	-0.034972	-1.135	0.28425	-0.23956	-0.66782	-1.1343
BOP1	2.0591	1.0353	0.075414	-0.23675	-0.010409	-0.56935	0.34176	-0.22423	-1.0318	-1.439
PES1	2.1032	0.77073	0.12576	-0.48804	-0.036377	-0.50757	0.39859	0.052701	-0.7722	-1.6468
DDX51	1.3837	1.083	0.62172	-0.98781	-1.092	0.38701	0.60577	0.28613	-1.4108	-0.87672
NOC4L	1.5069	1.5386	0.073351	-0.71771	-0.49258	0.26281	0.51773	-0.14444	-1.232	-1.3127
NOP14	1.5755	1.2938	0.17235	-0.62565	-0.84951	0.45918	0.50728	-0.16217	-1.6305	-0.74035
BRD2	1.9838	0.35202	0.78468	-0.40491	-0.66297	-0.94142	1.0928	-0.71142	-0.64437	-0.84822
PAK1IP1	2.0287	0.41699	0.76989	-0.63466	0.13927	-0.96687	0.75833	-0.65364	-0.80235	-1.0557
ZNF277	1.9363	0.69156	0.7512	-0.69872	-0.25173	-0.46772	0.84287	-0.69957	-0.94208	-1.1621
FIP1L1	2.3498	0.10756	0.58681	-0.8741	-0.2953	-0.15858	0.53206	-0.975	-0.95419	-0.31907
DUSP11	1.9892	1.292	0.17668	-1.446	-0.25977	-0.40108	0.064201	-0.34996	-0.12666	-0.93857
PVRL1	2.0336	1.1748	0.23116	-1.1847	-0.53327	-1.1018	0.12357	-0.40935	0.21387	-0.54789
HIST1H4A	2.2185	1.0218	-0.20951	-0.65747	-0.70236	-0.74818	0.73811	-0.39837	-0.67848	-0.58405
NFRKB	2.2192	0.86037	-0.50305	-0.68867	-1.0289	-0.48769	0.78458	-0.70241	-0.44987	-0.0035435
PRPF38A	2.0001	1.0142	0.019617	-0.60002	-0.9808	-0.70514	0.59125	-0.71998	0.42924	-1.0484
SNRNP40	2.2018	0.88061	-0.012679	-0.34748	-1.4037	-0.219	0.36442	-0.57926	-0.0078477	-0.87691
CDK5RAP1	2.1894	0.56136	0.70724	0.099196	-0.84123	-0.13394	0.202	-0.82937	-1.0691	-0.88551
ORC1	2.3672	0.50733	0.62682	-0.19457	-1.0583	-0.2473	0.12511	-0.67502	-0.76205	-0.68926
SNRPB	2.0617	0.81158	1.0664	-0.29164	-1.1343	-0.23145	-0.29363	-0.63786	-0.92325	-0.42753
DDX10	2.2673	0.24242	0.80272	0.013379	-0.24164	0.046183	-0.18749	-0.66115	-1.0412	-1.2406
NOC2L	2.3102	0.69057	0.49034	-0.1873	-0.66149	0.072498	-0.21034	-0.37302	-0.98481	-1.1466
DDX50	1.9876	0.52665	1.1367	-0.24186	-0.46953	0.082154	0.068667	-1.0896	-0.98121	-1.0196
SNRPD2	1.9736	0.52968	1.1652	0.1806	-0.73148	0.02919	-0.6849	-0.97118	-1.1781	-0.31264
CELF1	1.7805	0.80546	0.85816	0.58321	-0.84824	0.091897	-0.39065	-0.45478	-1.4072	-1.0184
SNRPE	1.7456	0.52269	0.79935	0.66664	-1.423	0.054766	0.19539	-0.38129	-1.1548	-1.0253
PEO1	1.7768	1.0188	0.58481	0.7782	-1.2952	-0.10355	-0.4588	-0.48979	-0.70812	-1.1032
MDN1	1.6088	0.81538	1.1675	0.45017	-0.7374	-0.61685	0.30022	-0.63932	-1.1882	-1.1603
POLR2E	1.6755	0.69968	0.75199	0.32774	-0.48753	-0.0076038	0.6416	-1.0983	-1.3967	-1.1063
DDX21	1.6547	0.53269	1.2802	-0.39541	-0.6733	-0.33553	0.85741	-1.1328	-0.89895	-0.88899
PWP2	1.431	1.0255	1.5662	-0.71226	-0.97177	-0.42248	0.32411	-0.62539	-0.90046	-0.71446
WDR3	1.5571	0.99372	1.6397	-0.71119	-0.59106	-0.43608	-0.10792	-0.8621	-0.75858	-0.72362
TBL3	1.8019	0.72693	1.3303	-0.59746	-0.99958	-0.40944	0.42114	-0.73851	-0.64499	-0.89027
WDR36	1.6755	0.89396	1.3626	-0.31262	-0.85503	-0.10901	0.164	-0.85863	-0.9112	-1.0496
SKIV2L2	1.7114	1.0075	1.3199	-0.37016	-0.58531	-0.85132	0.21378	-0.80294	-0.63442	-1.0084
TRMT11	1.461	0.67629	1.4172	0.40291	-1.044	-0.44947	-0.0068077	-0.95505	-0.078405	-1.4237
BAZ2A	1.5289	0.77251	0.85486	-0.91132	-1.6655	-0.36566	0.801	-0.01259	-0.97688	-0.025312
ODR4	1.3785	1.0493	0.8956	-0.50487	-1.9832	-0.50255	0.44212	-0.19499	-0.71099	0.13104
CPSF6	1.6952	0.45662	0.77415	-0.092913	-1.7045	-0.56285	0.86207	0.13786	-1.0065	-0.55911
HSPD1	1.9783	1.0046	0.6779	-0.43373	-1.3105	-0.36307	0.067619	-0.27959	-1.2173	-0.12416
YARS2	1.9308	1.1085	0.8651	-0.72382	-1.1316	-0.47865	0.070037	-0.13075	-0.97859	-0.53097
HSPE1	1.6799	1.4614	0.48291	-0.14673	-1.5366	-0.386	0.063887	-0.18904	-1.0429	-0.38683
NIP7	1.5497	1.0066	1.3038	-0.65663	-1.3488	-0.44387	0.048706	-0.18339	-1.1801	-0.096096
NOP2	1.5868	0.86413	1.2189	-0.42743	-1.2008	-0.63685	0.08756	-0.17867	-1.4683	0.15459
LAS1L	1.3493	1.1719	0.91454	0.18431	-1.2755	-0.89577	0.14609	0.2415	-1.5268	-0.30947
SCEL	1.3962	1.252	1.0591	0.22686	-1.3463	-0.43797	0.11902	-0.63697	-1.3423	-0.2897
BCLAF1	1.7009	0.93891	1.0495	-0.36549	-0.73299	-0.88485	0.20363	0.17959	-1.4995	-0.58966
LIAS	1.5012	0.78085	1.6551	-0.35251	-0.71433	-0.85159	0.024791	-0.04814	-1.1458	-0.8496
DDX5	1.5782	0.89067	1.24	-1.3026	-0.67079	-0.39658	0.26457	0.21937	-1.1294	-0.69339
RSL1D1	1.6113	0.84763	1.3371	-0.9096	-1.109	-0.81473	0.2667	0.20077	-0.56953	-0.86063
RBM19	1.5937	0.32312	1.1532	-0.94059	-0.4131	-1.2805	0.78563	0.47155	-1.017	-0.67597
NTHL1	2.1051	0.37986	0.88012	-0.86818	-0.63108	-1.335	0.28332	-0.2831	0.18939	-0.72046
PCF11	1.6906	0.2474	1.6908	-0.81861	-0.84125	-1.2278	-0.20712	0.17426	-0.43256	-0.27574
C12orf43	1.989	0.11361	1.0506	-0.88561	-1.1139	0.51309	-0.36261	-0.003878	-1.2255	-0.074796
RPUSD3	2.315	-0.08667	0.57371	-0.79773	-1.2774	0.24652	0.090882	0.076865	-0.96431	-0.1769
CDK8	2.2189	0.42551	0.99597	-0.72415	-0.97588	-0.37713	-0.10065	0.10527	-0.9147	-0.65315
NAT10	2.2048	0.37446	0.86555	-0.99434	-0.70836	-0.096549	-0.032727	-0.24234	-1.2979	-0.072596
PTPMT1	1.9775	0.11491	1.2674	-1.402	-0.7627	-0.15477	-0.30167	0.37548	-0.70937	-0.40474
SART1	1.9631	0.096585	1.025	-1.2689	-0.22014	0.17755	-0.47142	0.60173	-0.95882	-0.9447
C17orf80	0.81321	1.1223	1.3628	-0.76525	-0.63762	-0.94429	1.0088	-0.17928	-1.4831	-0.29755
TCOF1	0.62281	1.1475	1.4638	-0.59529	0.13102	-0.56314	0.89582	-0.65874	-1.5696	-0.87411
C2CD5	1.0217	1.4753	1.1007	-0.26645	-0.40082	-0.45946	0.038181	0.28113	-1.6711	-1.1191
URB2	1.0691	1.3881	1.336	-0.43081	-0.93342	-0.35873	0.23492	0.089484	-1.0756	-1.319
DDX28	0.89763	1.4956	1.4785	-0.034938	-0.62147	-0.6772	0.013971	-0.56959	-1.5549	-0.42763
ZFC3H1	1.1376	1.3717	1.4188	-0.28251	-0.42388	-0.034488	-0.0017311	-0.81264	-1.3797	-0.99326
NUDT21	1.0586	0.86049	1.9591	-0.23717	-0.86127	-0.22629	-0.093642	-0.29385	-1.0099	-1.156
CLPB	1.2886	1.4808	0.4312	-0.11776	-0.53304	-0.35037	0.84663	-0.36653	-1.5624	-1.1171
UTP14A	1.4898	1.6553	0.40722	-0.25529	-0.64279	-0.73836	0.54465	-0.36882	-1.3857	-0.70592
FASTKD2	1.3185	1.4605	0.57622	0.21191	-0.89844	-0.6785	0.86432	-0.85194	-1.0557	-0.94686
RCL1	1.0798	1.5425	0.76355	-0.35569	-0.8999	-0.96164	0.90152	0.014345	-0.92973	-1.1547
DIMT1	1.3497	1.1431	1.2443	-0.63959	0.30665	-0.58888	-0.0092001	-0.26617	-0.9723	-1.5676
NPM3	1.6589	1.0451	0.97215	-0.24632	0.21145	-0.079808	-0.20636	-0.70732	-1.1645	-1.4833
SRFBP1	1.4984	0.66242	1.3496	-0.22723	0.36981	-0.17608	-0.34954	-0.32986	-1.1429	-1.6546
MCRS1	1.4652	0.90371	1.3359	0.060678	-0.38993	-0.54476	-0.44957	0.16574	-0.86953	-1.6774
NOP56	1.5231	1.3634	0.84244	-0.39594	-0.27757	-0.85682	-0.023036	0.12681	-0.66332	-1.6391
TMEM201	1.6749	1.1391	0.74735	-0.26057	0.26678	-0.76103	-0.22591	-0.15089	-0.66974	-1.7601
MAK16	1.1752	1.3984	0.73478	0.00096675	0.31552	-0.62986	0.30187	-0.32261	-1.5534	-1.4209
CCDC47	1.2308	0.42194	0.84544	-0.89712	-0.65768	-0.54963	0.1893	1.5833	-0.79701	-1.3693
MED23	1.3826	0.22519	0.97981	-0.15558	-1.0161	0.034478	-0.51928	1.3513	-0.74135	-1.541
CCDC59	1.9846	0.24975	0.67879	-0.55803	-0.96789	-0.29201	0.40834	0.63562	-0.65349	-1.4856
NGRN	1.8023	0.57388	0.82806	-0.58297	-0.8615	-0.44818	0.51012	0.50688	-0.82847	-1.5001
PUS1	1.5552	0.49625	0.63924	-0.39689	-1.0241	-0.57197	0.71239	0.80225	-0.47571	-1.7366
SRSF8	1.5589	0.33556	1.2243	-0.38322	-0.91909	-0.60227	0.17845	0.90405	-0.90575	-1.3909
NOL8	1.5705	0.50324	0.5328	-0.08409	-1.2599	0.033542	0.53429	0.74486	-1.6372	-0.93814
PPIF	1.5414	0.68616	0.97685	-0.70794	-0.77531	-0.33143	0.38709	0.759	-1.4191	-1.1167
URB1	1.3682	0.71861	1.1076	-0.39369	-1.0865	-0.080635	0.44669	0.57159	-1.3101	-1.3418
RBM4	1.4042	0.61872	0.75741	-0.39549	-0.68266	-0.4242	0.21822	1.1994	-1.6218	-1.0738
ABCB7	0.32563	1.3938	1.0023	-0.74071	-1.0009	0.22936	1.2634	-1.2213	-0.13949	-1.112
CCAR1	0.90942	1.2822	0.94053	-0.55808	-1.3274	0.080676	1.1888	-0.94563	-0.67662	-0.89393
GRSF1	1.2588	1.0534	1.0554	-0.32677	-0.75533	-0.36114	1.0829	-0.77565	-0.87088	-1.3607
SLC25A19	1.3454	1.0284	0.84777	-0.8793	-0.95465	-0.66013	1.2915	-0.53192	-0.39945	-1.0876
